ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Expense Rate,Research and development expense rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Per Share Net profit before tax (Yuan ¥),Total Asset Growth Rate,Debt ratio %,Net worth/Assets,Net profit before tax/Paid-in capital,Total Asset Turnover,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Current Liability,Current Liabilities/Liability,Long-term Liability to Current Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Cash Turnover Rate,Current Liability to Liability,Cash Flow to Total Assets,CFO to Assets,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,Equity to Liability,Bankrupt?
0.474918344,0.53368949,0.529739279,1.411021021021021e-14,0.7434869739478958,1.4142828282828282e-13,0.0,0.176351608,0.176351608,0.176351608,0.214616621,0.169993221,0.636636636636633,0.089246304,0.910753696,0.168984239,0.070464768,0.3483483483483483,0.8258258258258259,0.019677419,1.4164352142110762e-12,0.790928956,0.204896475,0.435557199,0.032718875,1.9917575129533678e-13,0.090050943,0.344861066,1.3186127144298688e-12,0.943968239,1.213772536687631e-13,2.4893e-14,1.7274000000000178e-15,0.506,0.943968239,0.65060025,0.576953451,0.03213287,0,0.796865414,3.2136344195519677e-13,0.04284071,0
0.442499878,0.507195813,0.494940843,1.2593893893893896e-14,0.7114228456913827,2.8992828282828285e-13,0.0,0.170199317,0.170199317,0.170199317,0.206296681,0.163214582,0.7017017017016987,0.114339269,0.885660731,0.162619712,0.133433283,4.5559159159159153e-14,7.178778778778779e-14,0.030645161,7.282208986415883e-13,0.80686766,0.434823203,0.429274778,0.009646615,7.516041450777202e-14,0.070253348,0.327843922,8.960282542885973e-14,0.57546011,1.245841823899371e-12,1.2596999999999999e-14,3.3692000000000343e-15,0.0809,0.57546011,0.642320732,0.51676242,0.025404261,0,0.780904873,9.237455193482784e-13,0.032862358,0
0.54170526,0.608046228,0.590127951,0.45845845845845845,0.05440881763527054,5.283353535353536e-13,0.141917198,0.20129788,0.20129788,0.20129788,0.248085468,0.201174964,0.9319319319319312,0.121625299,0.878374701,0.200211145,0.242878561,6.130020020020019e-14,9.761017017017016e-13,0.052741935,1.772796238244514e-13,0.788350764,0.511800269,0.536150014,0.038440057,1.704176165803109e-13,0.12382881,0.344753042,1.8395297679112008e-13,0.963618553,0.0,0.09240000000000001,0.9339999999999992,0.197,0.963618553,0.651888156,0.580822037,0.035987425,0,0.832889625,2.0046171079429942e-13,0.030706404,0
0.590113587,0.611753162,0.634991167,0.4794794794794795,0.18236472945891782,0.0,0.086648446,0.203826219,0.203826219,0.203826219,0.245438215,0.19545078,0.6126126126126087,0.022674366,0.977325634,0.194480054,0.115442279,2.1096496496496498e-14,1.3706306306306305e-14,0.022741935,1.2361880877742947e-12,0.873352424,0.500338929,0.528407786,0.372755225,7.71228756476684e-12,0.026157935,0.515897129,9.191432896064582e-13,0.961117994,0.0,1.7519e-14,7.12600000000007e-15,3.43729e-14,0.961117994,0.642770967,0.713684158,0.007584956,0,0.844408117,9.737084521385028e-13,0.159041554,0
0.501876859,0.54769952,0.562556882,7.632702702702703e-14,5.464438877755511e-14,4.061010101010101e-13,0.0,0.180481227,0.180481227,0.180481227,0.21716933,0.172026813,1.4104604604604747e-14,0.059678931,0.940321069,0.170439635,0.047976012,0.05165165165165165,1.5902402402402403e-14,0.016129032,1.9101421107628006e-13,0.923511033,0.583712634,0.825506178,0.51102537,4.569605284974094e-12,0.061151661,0.331215752,2.1557834510595355e-12,0.939162118,4.251865828092243e-14,1.090129e-13,6.772460000000067e-14,1.7599560000000002e-13,0.939162118,0.874109759,0.545538407,0.011435478,0,0.801562099,6.975193482688463e-14,0.064648238,0
0.445229854,0.500272569,0.500990417,1.5221421421421423e-14,0.7805611222444889,2.7073434343434344e-13,0.0,0.156377734,0.156377734,0.156377734,0.205634868,0.160804399,0.5355355355355309,0.158327539,0.841672461,0.159791871,0.16191904,0.7857857857857858,2.5065165165165162e-14,0.046612903,8.475102403343783e-13,0.775725845,0.342297898,0.555880158,0.128716154,4.908340932642487e-13,0.144040579,0.350723366,7.869517658930373e-13,0.86602438,3.9919109014675053e-13,1.20196e-14,0.7459999999999973,0.0803,0.86602438,0.642280975,0.616109535,0.040409427,0,0.774922308,2.0621588594704898e-13,0.022788275,0
0.480865792,0.546990842,0.529953424,0.06306306306306306,0.2535070140280561,0.7373737373737373,0.193035732,0.188108381,0.188108381,0.188108381,0.218682046,0.174964224,0.6856856856856826,0.058348702,0.941651298,0.173697308,0.088455772,2.1804104104104104e-14,1.2843043043043043e-13,0.020322581,2.8539738766980147e-13,0.806475438,0.355070845,0.394708525,0.184521773,1.6792175129533678e-12,0.060079325,0.336552518,4.4935832492431884e-13,0.942105407,0.0,1.80249e-14,6.704700000000068e-15,2.3280600000000002e-14,0.942105407,0.651794539,0.556457487,0.023600123,0,0.805229609,7.235476578411479e-13,0.066087491,0
0.484960757,0.539576973,0.538786873,3.8406606606606605e-14,3.9316032064128255e-14,0.0,0.071161049,0.168682314,0.168682314,0.168682314,0.217736598,0.171424268,0.7057057057057027,0.039453397,0.960546603,0.170469799,0.061469265,1.0423923923923925e-14,1.4766466466466468e-14,0.016451613,1.1239420062695925e-12,0.835066539,0.38072166,0.429431625,0.213727256,3.0072782383419688e-12,0.038688334,0.360856455,8.240628657921292e-13,0.870456569,0.0,2.91052e-14,1.633040000000016e-14,3.88952e-14,0.870456569,0.692111761,0.592409897,0.013926493,0,0.800956986,6.52332993890027e-14,0.096441088,0
0.573879979,0.614751417,0.635205311,0.16316316316316315,0.010721442885771542,5.546010101010101e-13,0.023686608,0.23252286,0.23252286,0.23252286,0.262078094,0.212397379,1.0318318318318436e-15,0.124134595,0.875865405,0.208913355,0.053973013,1.2566066066066066e-14,0.3713713713713714,0.019354839,1.8198141797283176e-11,0.757458741,0.241130982,0.259739495,0.178137294,1.3254446632124353e-12,0.073588029,0.360642904,1.9352875882946517e-13,0.556052078,2.3462541928721172e-12,2.35791e-14,1.2467200000000125e-14,4.34664e-14,0.556052078,0.688009274,0.645362153,0.043723375,0,0.832858821,1.3565587067209914e-11,0.030017443,0
0.548920197,0.586840384,0.588040045,2.2791591591591592e-14,0.0,0.0,0.285049094,0.185032236,0.185032236,0.185032236,0.248841827,0.204187693,0.6926926926926896,0.165220546,0.834779454,0.202782596,0.556221889,1.468908908908909e-14,4.3973793793793793e-13,0.146451613,7.67092998955068e-14,0.831303271,0.512634997,0.838792957,0.058229369,1.8978901554404147e-13,0.168603628,0.359975359,1.0259112008072654e-12,0.973934089,0.0,0.504,0.30699999999999306,0.117,0.973934089,0.643469564,0.667640592,0.031397116,0,0.827921189,3.299536659877834e-13,0.021679963,0
0.430702481,0.484354557,0.482681086,5.2308408408408414e-14,0.14128256513026052,6.071313131313132e-13,0.0,0.161223716,0.161223716,0.161223716,0.20090763,0.156435942,0.548548548548544,0.139795024,0.860204976,0.155448307,0.067466267,0.3963963963963964,0.9009009009009009,0.022419355,1.277076907001045e-12,0.746596407,0.269864737,0.405441611,0.026644177,1.1210259067357513e-13,0.130504102,0.340589546,5.595703329969727e-13,0.885995717,6.226551362683438e-14,2.22907e-14,5.072100000000052e-15,0.399,0.885995717,0.637808624,0.564298718,0.050053751,0,0.762572121,7.761344195519427e-14,0.026277723,0
0.534490323,0.596216747,0.588521869,0.03113113113113113,0.005270541082164328,3.1518282828282826e-13,0.0,0.368968859,0.368968859,0.368968859,0.335539378,0.265797997,3.727927927927965e-15,0.184055386,0.815944614,0.264693462,0.136431784,1.4497797797797797e-14,2.021871871871872e-14,0.042096774,4.333572936259144e-12,0.807811536,0.314554525,0.409579058,0.034877013,3.020882901554404e-13,0.063147523,0.337089074,8.486719475277497e-13,0.318988566,3.2586426624737942e-12,1.52812e-14,2.0418000000000215e-15,0.365,0.318988566,0.656180293,0.543490195,0.023914811,0,0.822636855,2.1124920570264982e-12,0.019072682,0
0.49027446,0.538541212,0.538947481,1.2015115115115116e-14,0.40781563126252507,3.182141414141414e-13,0.049701387,0.199190932,0.199190932,0.199190932,0.218492956,0.17172554,0.6166166166166127,0.120506696,0.879493304,0.17065078,0.065967016,1.2451351351351351e-14,1.8779879879879878e-14,0.021129032,1.135607314524556e-12,0.768086366,0.186721594,0.227526107,0.026527695,2.7973927461139895e-13,0.051782344,0.346729248,4.643785065590313e-13,0.399252503,3.37329465408805e-12,1.3235800000000001e-14,1.2661000000000132e-15,0.433,0.399252503,0.634481438,0.588438925,0.035027521,0,0.798300595,9.208037678207836e-13,0.031018534,0
0.6056647,0.672045355,0.674286632,0.948948948948949,0.48296593186372744,4.980292929292929e-13,0.0,0.182335342,0.182335342,0.182335342,0.251016356,0.198764781,3.7029029029029424e-15,0.089216072,0.910783928,0.196041023,0.205397301,2.385065065065065e-14,4.18005005005005e-14,0.040645161,3.006605015673981e-13,0.867534981,0.682664734,0.732349668,0.299740691,1.7246486010362694e-12,0.095301087,0.372246319,4.080754793138244e-13,1.0,0.0,1.8284400000000002e-14,7.557300000000074e-15,2.08211e-14,1.0,0.706925094,0.65755493,0.02023887,0,0.85914514,1.083163951120174e-13,0.042856224,0
0.573441232,0.640263846,0.630172921,1.490890890890891e-14,0.7605210420841684,2.0810202020202022e-13,0.057293248,0.216678606,0.216678606,0.216678606,0.263496265,0.212096106,0.7907907907907886,0.064697524,0.935302476,0.21019531,0.176911544,1.203053053053053e-14,2.741261261261261e-14,0.034354839,8.371422152560083e-13,0.877622489,0.508785069,0.601386245,0.297623428,3.706032227979275e-12,0.043779242,0.381304992,1.2846646821392533e-12,0.619762317,4.1504423480083856e-13,1.4091000000000001e-14,2.303500000000025e-15,1.98027e-14,0.619762317,0.70573801,0.65288653,0.011231663,0,0.854773018,1.3102566191446164e-13,0.059613817,0
0.476185833,0.519733973,0.51126934,1.784894894894895e-14,0.4559118236472946,4.4852929292929295e-13,0.0,0.152374531,0.152374531,0.152374531,0.209416659,0.17006854,0.5875875875875834,0.162771714,0.837228286,0.169097353,0.076461769,0.04934934934934935,0.7417417417417418,0.027096774,1.8530242424242423e-12,0.751888756,0.253560482,0.413557284,0.020511436,8.862818652849741e-14,0.127062917,0.339717513,6.675182643794147e-13,0.74159104,8.749837526205452e-13,2.08756e-14,2.9566000000000307e-15,0.28300000000000003,0.74159104,0.636340909,0.559680309,0.047784608,0,0.78493782,7.202281059063209e-14,0.022063246,0
0.534100327,0.584986917,0.577814658,1.3832432432432432e-14,0.35370741482965934,6.546111111111111e-13,0.168033202,0.19063672,0.19063672,0.19063672,0.236929186,0.191684869,0.07297297297296369,0.140490371,0.859509629,0.190619109,0.070464768,0.8548548548548549,1.3630630630630629e-14,0.023548387,1.2746136886102404e-12,0.750042555,0.180071764,0.245082684,0.051130683,3.618120207253886e-13,0.077401716,0.348315615,4.649017154389505e-13,0.517559385,1.8360199161425577e-12,1.42116e-14,7.512000000000079e-16,0.8270000000000001,0.517559385,0.643058554,0.599494297,0.048681551,0,0.821743765,8.902711812627382e-13,0.026130588,0
0.579973675,0.624781945,0.617538412,0.6816816816816816,0.02214428857715431,3.747848484848485e-13,0.185747545,0.2218617,0.2218617,0.2218617,0.262834452,0.219326655,0.7817817817817796,0.095020709,0.904979291,0.218414901,0.212893553,1.0328228228228228e-14,2.5216616616616616e-14,0.042580645,5.8268277951933125e-12,0.793066658,0.201186009,0.413401414,0.028794703,1.9511512953367876e-13,0.08085137,0.364352071,1.3536581231079718e-12,0.796257314,3.458519916142558e-13,0.743,0.3479999999999934,0.159,0.796257314,0.634921935,0.6386474,0.030372225,0,0.846106942,1.8953212830957422e-12,0.040096534,0
0.493833179,0.591146969,0.536217142,0.9669669669669669,0.0,2.070919191919192e-13,0.167020954,0.190257469,0.190257469,0.190257469,0.221612934,0.190931686,0.6656656656656623,0.080176558,0.919823442,0.189917804,0.178410795,2.209099099099099e-14,5.331071071071071e-14,0.036935484,2.453594566353187e-13,0.891230363,0.725072279,0.784446509,0.393125627,2.5424943005181346e-12,0.084733276,0.355159863,5.258387487386478e-13,0.984423191,0.0,1.72426e-14,6.434600000000062e-15,2.4168200000000002e-14,0.984423191,0.817842504,0.603138633,0.016769337,0,0.830716241,1.347139511201643e-13,0.047903515,0
0.513869254,0.5611099,0.554312329,1.3577777777777777e-14,0.31162324649298595,2.4952020202020204e-13,0.283125822,0.187476297,0.187476297,0.187476297,0.222652926,0.180387136,0.6896896896896866,0.062732412,0.937267588,0.179443481,0.131934033,1.1418518518518518e-14,1.9688588588588588e-14,0.026612903,5.401006269592476e-13,0.810266667,0.287886798,0.393945908,0.101244278,9.950471502590675e-13,0.055594892,0.373679556,1.0512057517658932e-12,0.813349566,0.8480083857442348,1.1530400000000001e-14,0.8659999999999985,0.854,0.813349566,0.638231384,0.634263249,0.021872065,0,0.813265898,3.201417515274982e-13,0.061498973,0
0.468775898,0.45142826,0.503346004,0.7327327327327328,0.0,3.293262626262626e-13,0.0,0.156630568,0.156630568,0.156630568,0.18663137,0.142351435,0.5115115115115066,0.192066995,0.807933005,0.142394993,0.050974513,0.7417417417417418,0.4314314314314314,0.022580645,2.739621734587252e-12,0.779778748,0.242055947,0.335150413,0.097412269,7.435486010362695e-13,0.071720821,0.345408602,7.135293642785066e-13,0.348700717,4.109086268343816e-12,2.43026e-14,7.89840000000008e-15,1.9065299999999998e-14,0.348700717,0.60708246,0.593982242,0.033155605,0,0.741395798,2.683239307535669e-13,0.018117464,0
0.542144006,0.596053205,0.585042026,2.0742842842842844e-14,0.03627254509018036,0.0,0.213786821,0.184610847,0.184610847,0.184610847,0.236172828,0.191458914,0.6926926926926896,0.078332376,0.921667624,0.190475831,0.133433283,2.1784984984984984e-14,4.202762762762763e-14,0.029032258,8.146468129571578e-13,0.848967006,0.604278223,0.618598293,0.286493303,1.9332666321243523e-12,0.081189349,0.371243357,2.4243763874873867e-13,0.964273126,0.0,1.86573e-14,8.804300000000088e-15,2.3962300000000002e-14,0.964273126,0.646384719,0.644128577,0.020396855,0,0.833186683,9.86224032586568e-14,0.049074638,0
0.504070589,0.539140863,0.56041544,2.984094094094094e-14,2.0823346693386774e-14,3.858969696969697e-13,0.0,0.162235051,0.162235051,0.162235051,0.215656613,0.170595767,0.7407407407407381,0.141518276,0.858481724,0.169504562,0.056971514,0.6386386386386387,0.46146146146146144,0.021129032,1.8167101358411706e-12,0.761049303,0.268057312,0.343831912,0.063513068,3.651266321243524e-13,0.095383707,0.343474388,4.5293582240161456e-13,0.636328171,1.6575646750524108e-12,2.5855000000000004e-14,1.0572300000000103e-14,1.2852e-14,0.636328171,0.657878683,0.57752938,0.043022618,0,0.797366168,7.297627291242436e-14,0.025920184,0
0.471798372,0.54273877,0.531559505,1.68997997997998e-14,0.47995991983967934,4.0913232323232323e-13,0.0,0.177868611,0.177868611,0.177868611,0.217074785,0.170972358,0.7077077077077047,0.063216132,0.936783868,0.170002262,0.124437781,2.62987987987988e-14,2.6201001001001002e-14,0.025483871,9.115405433646813e-13,0.794639198,0.276874434,0.313344547,0.032506882,3.6677098445595856e-13,0.048365485,0.3502879,4.912427850655903e-13,0.701286703,0.0,0.9720000000000001,0.9029999999999989,0.296,0.701286703,0.635624633,0.585032645,0.023872527,0,0.802682773,5.819063136456271e-14,0.061035889,0
0.486423244,0.548244658,0.537502008,1.1436336336336336e-14,0.03707414829659319,2.464888888888889e-13,0.184127948,0.220428975,0.220428975,0.220428975,0.224165642,0.179257362,0.64364364364364,0.099495117,0.900504883,0.178123822,0.142428786,1.6085285285285287e-14,2.8548548548548546e-14,0.032258065,8.703207941483804e-13,0.782076212,0.355596048,0.44654285,0.120667381,6.404808290155441e-13,0.103348767,0.337153752,5.08752774974773e-13,0.976476545,0.0,1.1875300000000001e-14,0.9769999999999996,0.924,0.976476545,0.619810796,0.553138464,0.035996511,0,0.805548102,2.818172097759703e-13,0.038183901,0
0.504704334,0.549171391,0.535949462,2.703973973973974e-14,2.262675350701403e-14,0.6666666666666667,0.5917603,0.179469892,0.179469892,0.179469892,0.219532949,0.181140318,0.6136136136136098,0.052453366,0.947546634,0.17868939,0.098950525,0.7807807807807808,3.2031931931931934e-14,0.023064516,6.002862068965517e-13,0.816290754,0.311010238,0.392888444,0.218175951,2.454052953367876e-12,0.048516714,0.377208185,9.667167507568112e-13,0.839703257,0.0,1.49869e-14,2.2008000000000227e-15,2.33525e-14,0.839703257,0.669455804,0.629891349,0.019123997,0,0.806820093,9.868635437881974e-14,0.073415642,0
0.497879394,0.578826864,0.550939558,0.10810810810810811,0.005100200400801603,3.7781515151515156e-13,0.045753619,0.262230837,0.262230837,0.262230837,0.254609057,0.213150561,0.8078078078078058,0.155001965,0.844998035,0.211484805,0.322338831,6.084114114114114e-14,1.754862762762763e-12,0.077096774,5.741982236154651e-13,0.777880653,0.431212302,0.493961447,0.009269344,4.150020725388601e-14,0.12261243,0.34001161,3.277042381432896e-13,0.750746759,7.19314360587002e-13,0.559,0.5269999999999953,0.0341,0.750746759,0.636583985,0.561378888,0.038658397,0,0.82148615,1.5325559674134575e-11,0.02335153,0
0.491200702,0.556094636,0.544943519,0.5595595595595596,0.0,7.717939393939394e-13,0.114687721,0.169145843,0.169145843,0.169145843,0.218209322,0.173834451,0.6166166166166127,0.159567071,0.840432929,0.172852726,0.136431784,1.8227527527527527e-14,3.029019019019019e-14,0.043225806,1.6376972831765935e-12,0.727896165,0.32047974,0.403868072,0.003094738,1.1260103626943006e-14,0.150985391,0.34474988,3.189922300706357e-13,0.901344106,0.0,1.08649e-14,0.8929999999999988,0.0242,0.901344106,0.627461084,0.585714717,0.05815101,0,0.802420205,3.2232189409368967e-13,0.022579896,0
0.552235168,0.600741387,0.59055624,2.0464964964964965e-14,0.4729458917835671,0.0,0.251543679,0.201972104,0.201972104,0.201972104,0.242601872,0.198689463,0.07187187187186259,0.06270218,0.93729782,0.197737727,0.088455772,4.1906006006006e-14,2.8018418418418417e-14,0.020806452,5.750911180773249e-13,0.813210301,0.364662734,0.366727107,0.180805778,2.2434029015544044e-12,0.043937182,0.372490625,1.9512805247225025e-13,0.641153469,0.0,1.6888999999999998e-14,7.397100000000073e-15,2.3094000000000002e-14,0.641153469,0.651251245,0.631720959,0.018540782,0,0.835265759,6.029276985743441e-14,0.061531055,0
0.530785356,0.598288269,0.589378446,1.691141141141141e-14,1.3014629258517035e-14,2.0002020202020202e-13,0.006275939,0.18692849,0.18692849,0.18692849,0.240143708,0.191007005,0.7997997997997978,0.120355534,0.879644466,0.189902722,0.154422789,0.6466466466466466,3.665115115115115e-14,0.036612903,1.586057053291536e-12,0.825815116,0.482239037,0.677034243,0.047580235,2.0882466321243523e-13,0.12508749,0.359970573,8.544266397578203e-13,0.983535547,0.0,1.86149e-14,3.4753000000000366e-15,0.363,0.983535547,0.66102102,0.640346789,0.02880514,0,0.83149302,1.9195631364562312e-13,0.031060842,0
0.496319407,0.554132141,0.546388993,1.051031031031031e-14,0.0,5.950090909090909e-13,0.0,0.20256205,0.20256205,0.20256205,0.223692919,0.178654817,0.7647647647647624,0.133234574,0.866765426,0.177369731,0.047976012,1.0328228228228228e-14,0.8098098098098098,0.018387097,1.9421814002089864e-12,0.752338294,0.058013931,0.111228374,0.018207277,2.9334404145077717e-13,0.033727399,0.342643116,8.117095862764883e-13,0.230480393,5.136203668763103e-12,0.9600000000000001,0.5189999999999951,0.444,0.230480393,0.648617373,0.573194817,0.045559964,0,0.806582438,1.1659724949083624e-11,0.027742998,0
0.58518988,0.641681204,0.62680015,1.1366866866866868e-14,0.48997995991983967,1.0506060606060606e-13,0.175118939,0.222999452,0.222999452,0.222999452,0.287321547,0.243579122,5.67067067067074e-16,0.14983221,0.85016779,0.241444838,0.254872564,5.921541541541541e-14,8.640280280280281e-14,0.059354839,4.912440961337513e-13,0.799880065,0.456611612,0.482986453,0.033987532,1.970421761658031e-13,0.094579424,0.358417434,2.390263370332997e-13,0.595911085,8.367134171907757e-13,0.8160000000000001,0.8219999999999981,0.17400000000000002,0.595911085,0.649968367,0.650729247,0.030458903,0,0.849780378,4.344247454175197e-13,0.024283207,0
